Nombre,Total ($),Cantidad
PAÑUELITO RELLENO DULCE DE LECHE,19000.0,20.0
BUDIN LIMÓN,18900.0,5.0
"FANTA 1,5L",18500.0,4.0
TU CAFE XL,18200.0,6.0
FIDEOS VERDES,18000.0,5.0
MINI TORTA CHOCONARANJA,18000.0,4.0
MINI TORTA BOMBA,18000.0,4.0
MINI TORTA LIMÓN COCADO,18000.0,4.0
MINI TORTA LEMON PIE,18000.0,4.0
ENSALADA DEL DÍA,17700.0,3.0
"AGUA MINERAL 1,5 L",17600.0,6.0
MOSTAZA EN GRANOS 210 GM,17400.0,3.0
AGUA SABORIZADA LIMONADA 500ml,17300.0,10.0
FANTA LATA 310ML,17200.0,16.0
YOGURT CON GRANOLA Y FRUTAS,17200.0,4.0
PAÑUELITO RELLENO CREMA PASTELERA,17100.0,18.0
EMPANADA POLLO,16940.0,17.0
DANÉS (Infusón + roll),16800.0,4.0
PAN MOLDE CENTENO,16800.0,4.0
2 FIDEOS 2DA 15% OFF,16650.0,2.0
MAYONESA ALBAHACA,16600.0,2.0
TRIPLE QUESO AZUL,16560.0,8.0
"AGUA SABORIZADA POMELO 1,5L",16200.0,5.0
AGNELOTTIS CAPRESSE,15998.0,2.0
3 ÑOQUIS CAJA 3RA 30%off,15930.0,1.0
TOMATES ENTEROS 1 KG,15800.0,2.0
PROMO LICUADO + 3 TOSTADOS,15000.0,3.0
CHOCOLATADA,14700.0,5.0
CEPITA 300 ML BOTELLA,14150.0,9.0
CARTA - BAGEL JYQ,14100.0,4.0
SALSA CREMA,14000.0,4.0
MILANESA CLASICA POLLO VENE,13600.0,2.0
TRIPLE SALAME,13560.0,11.0
MINI TORTA SELVA NEGRA,13500.0,3.0
SANDWICH DE MILANESA DE POLLO,12600.0,2.0
TORTA CASHA,12500.0,1.0
COCA ZERO LATA 310ML,12300.0,13.0
3 FIDEOS 3RA 30%OFF,12150.0,1.0
MOCACCINO,11800.0,14.0
"AGUA SABORIZADA NARANJA 1,5L",11700.0,3.0
CARTA - ALFAJOR,11200.0,7.0
PAN PITTA (ÁRABE) X3,11200.0,4.0
CARTA - MEDIALUNA CREMA PASTELERA,11200.0,8.0
PAN CASERO,10800.0,4.0
FIEDOS SALTEADOS CON VERDURAS,10790.0,5.0
SANDIWCH DEL DÍA + BEBIDA,10600.0,2.0
CARTA - PIZZA ITALIANA PEPPERONI,10500.0,1.0
EMPANADA CAPRESSE,10400.0,8.0
SALSA PESTO CHICA,10200.0,2.0
VASO COOKIE,10000.0,4.0
CARTA -  BAGEL VEGGIE,9800.0,3.0
CARTA - BAGEL LOMITO Y HUEVO,9400.0,2.0
FIDEOS CALABAZA,9400.0,2.0
YOGURT CON GRANOLA,8600.0,2.0
AGUA SABORIZADA NARANJA 500ml,8600.0,6.0
MILANESA NAPOLITANA POLLO VENE,8500.0,1.0
MAYONESA ZANAHORIA,8300.0,1.0
MILANESA NAPOLITANA CARNE VENE,7900.0,1.0
PAPAS CHEDDAR,7790.0,1.0
CARTA - TORTITA HOJA,7200.0,48.0
CARTA - MEDIALUNA DULCE DE LECHE,7000.0,6.0
AGUA SABORIZADA MANZANA 500ml,6900.0,4.0
SPRITE LATA 310ML,6600.0,8.0
6 x 5 FACTURAS SURTIDAS,6480.0,1.0
MILA NAPOLITANA MAMINA,6100.0,2.0
PROMO 3 TRIPLE +JUGO+CAFE,5700.0,1.0
MINI PAN DE LECHE,5365.0,1.45
3 TRIPLES + LATA DE GASEOSA,5100.0,1.0
PAN DE CHOCOLATE,4950.0,5.0
SANDWICH JAMÓN CRUDO,4900.0,1.0
"SCHW POMELO 1,5L",4600.0,1.0
"SPRITE 1,5L",4600.0,1.0
ALFAJOR SIN TACC,4500.0,1.0
MENÚ KINDS,4300.0,1.0
COMBO INGLÉS (Infusión + 2 mini alfajores o porción de budín),4200.0,1.0
HUEVOS REVUELTOS,4100.0,1.0
AGUA - SODA CARTA,4000.0,2.0
SODA 500ml,3400.0,3.0
SCHW POMELO 500ml,3400.0,2.0
CAPUCCINO ESPECIAL,3100.0,6.0
CARTA - PAÑUELITO CREMA PASTELERA,2800.0,2.0
TORTITA JAMON Y QUESO,2400.0,2.0
ADES 200ml,2200.0,2.0
JUGO CHICO,1900.0,1.0
EMPANADA ESPINACA,1350.0,13.0
ADICIONAL CARTA dulce o queso,1200.0,1.0
DESCARTABLE,1000.0,1.0
ADICIONAL CAFÉ PROMO,500.0,1.0
MIXTA,0.0,32.0
CORTADO,0.0,205.0
CEBOLLA,0.0,8.0
CALABAZA,0.0,4.0
PESTO,0.0,5.0
CREMA,0.0,21.0
KALE,0.0,1.0
CENTENO,0.0,17.0
ZANAHORIA,0.0,17.0
CHOCOLATE  CON RON,0.0,1.0
CHOCOLATE,0.0,17.0
PAPPARDELLE,0.0,3.0
VERDURA,0.0,7.0
TUCO,0.0,45.0
RICOTA,0.0,3.0
BOLOGNESA,0.0,26.0
BLANCO,0.0,4.0
PAN DULCE (chocolate/almendras),0.0,1.0
SCHW POMELO LATA 310ML,0.0,1.0
ADICIONAL BOLOGNESA,0.0,1.0
SOLO,0.0,80.0
HUEVO,0.0,20.0
GOTEADO,0.0,42.0
LECHE,0.0,196.0
LOMITO,0.0,3.0
MANCHADO,0.0,62.0
FANTA 500ml,0.0,1.0
ESPINACA,0.0,6.0
JYQ,0.0,20.0
INTEGRAL,0.0,24.0
TERNERA,0.0,5.0
ENSALADA LA VENE,0.0,1.0
CAMPO,0.0,26.0
