Nombre,Total ($),Cantidad
Agnolottis x400gr,5399.0,1.0
RASPADITA inf.g.+torta+ dips/ tort jyq,5100.0,1.0
SANDWICH LOMITO CHEDDAR,4500.0,1.0
BAGUEL VEGGIE,4500.0,1.0
ALFAJOR SIN TACC,4500.0,1.0
DANES: inf gde+roll,4300.0,1.0
TOSTADOS DE MIGA X3,4100.0,1.0
2 EMPANADAS + 1 BEBIDA LATA,3700.0,1.0
SUBMARINO/CAFÉ ESPECIALIDAD,2900.0,1.0
MANZANITAS,2850.0,3.0
VASO GALLETA,2700.0,1.0
PAPAS AMERICANAS,2400.0,1.0
PAIN AU CHOCOLAT (PAN O CHOCOLA),1980.0,2.0
70% 2ª unid ( roll/ lampo),1868.0,1.0
