Nombre,Total ($),Cantidad
"ÑOQUIS PAPA CALAB CAJA 0,500 KG",47200.0,8.0
YOGURT CON GRANOLA,44000.0,10.0
"Bagel de jamón, queso y huevo",43220.0,9.0
AGUA SABORIZADA 0.5 CAFETERIA,42800.0,20.0
SUSCRIPCION CAFE MEDIANO,41400.0,2.0
Brownie para dos,40950.0,7.0
JUGO SODIN,39850.0,20.0
Pan dulce FRUTOS Y ALMENDRAS,39600.0,4.0
TOMATE FRESCO CONSERVA,39500.0,5.0
Gaseosa Coca-Cola 1.5 L.,39130.0,7.0
Ensalada De Frutas,38200.0,8.0
Tallarines Del Día Con Tuco Queso Y Pancito,37800.0,7.0
AGUA 1.5,37700.0,13.0
Budin Premium + Pan Dulce con chocolates y almendras,37518.0,2.0
TARTAS dulces CABSHA/COCO/RICOTA,37500.0,3.0
Salame Y Queso -Sándwich De Miga Triple,35640.0,27.0
Pote salsa bolognesa,35280.0,6.0
GASEOSA LATA,34900.0,25.0
Fideos 15% off 2da unidad,34040.0,4.0
LAMPONI CAFETERIA,33600.0,21.0
Paquete fideos 500 g,33360.0,6.0
Pan mignon 100g,32412.0,73.0
Ensalada Fresca Del Día,31900.0,4.0
SALSA CREMA,31500.0,9.0
Agnelottis preparados,31400.0,5.0
3 Empanadas De Carne Cortada A Cuchillo,31200.0,8.0
Tarta Del Dia Individual,30000.0,5.0
Tarta De Coco Grande,30000.0,2.0
pan molde 2da unidad 15% off,28860.0,4.0
SORR CAMARON PREPARADO PORCION X6,28000.0,2.0
Jugo De Naranja Natural Grande,28000.0,5.0
ENSALADA DE FRUTA,27900.0,7.0
Bagel cafeteria,27800.0,6.0
Pasta del dia TAGLIATELLE / TALLARINES con limonada,27500.0,5.0
SANGUCHE PANINI lomito / jyq / peperoni v,27200.0,6.0
VINAGRE ZUELO 250ml,27000.0,2.0
YOGURT CAFETERIA,26800.0,6.0
Pan de molde integral con semillas,26640.0,6.0
CHOCOLATADA,26500.0,9.0
PAN DULCE Chocolate Y Mas Almendras,25998.0,2.0
MUZZA + 2 LATAS CERVEZA,25800.0,2.0
SAND POLLO PALTA CAFETERIA,25600.0,4.0
30% OFF X3 FIDEOS,25380.0,2.0
Tortita Pinchada,25080.0,38.0
AGUA/SODA 0.5,24450.0,14.0
MENU EJECUTIVO fideos limonada postre,24300.0,3.0
BUDIN PREMIUM,24000.0,5.0
Pan de molde de zanahoria,22200.0,5.0
POLLO Y PALTA CAFETERIA,22000.0,4.0
Alfajor La Vene,21840.0,14.0
Jamón Crudo - Sándwich De Miga Triple,21840.0,14.0
Caja ñoquis 500 gr,21240.0,3.0
PAÑUELITOS PASTELERA,21000.0,15.0
TORTA GRANDE,20500.0,1.0
Cafe Mediano + Medialuna,19515.0,6.0
ALFAJOR,18200.0,14.0
Pan casero 400g,17760.0,4.0
Queso rallado reggianito 100 g,17400.0,5.0
Agnolotti con Salsa y Queso,16837.0,3.0
Pote tuco,16800.0,4.0
BUDIN PREMIUM 2DO 15% OFF,16650.0,2.0
ÑOQUIS X3 30%OFF,15930.0,1.0
Tarta Ricota Grande,15000.0,1.0
BAGUETIN jamon queso / veggie,14800.0,4.0
Porcion de tarta + ensalada,14700.0,3.0
Roquefort Y Jamón - Sandwich De Miga Triple,14520.0,11.0
Tortita De Hoja,14520.0,22.0
BUDIN COMUN 2DO 15% OFF,14430.0,2.0
Pizza italiana especial,13860.0,1.0
Pan Dulce Relleno,13800.0,1.0
MUZZA + 1 GASEOSA 1.5,13500.0,1.0
COPA DE VINO,13200.0,4.0
CERVEZA ANDES ORIGEN LATA,12300.0,3.0
Papardelle,11280.0,2.0
PORCION TORTA,9648.0,4.0
Agnelottis 400gr CAJA,9500.0,1.0
Bagel vegetariano,9360.0,2.0
FRUTAS TROZADAS.,9000.0,2.0
Alfajor SIN TACC,8998.0,2.0
PAN TIERNIZADO MINI DE LECHE X KG,8776.4,2.372
FERNET (medida + lata),8600.0,2.0
Refresco Coca Cola 500Ml,8400.0,4.0
BAGUEL JYQ/HUEVO,8400.0,4.0
CERVEZA LATA CAFETERIA,8200.0,2.0
Adicional HUEVOS REVUELTOS,8200.0,2.0
Pan arabe x3un,8100.0,3.0
CAFE GALLETA,7500.0,3.0
"AGUA SABORIZADA 1,5",7200.0,2.0
PAÑUELITOS DDL,7000.0,5.0
Pasta del dia TAGLIATELLE FIDEOS + lata,6500.0,1.0
ALFAJOR CAFETERIA,6400.0,4.0
Agua mineral 500 ml,6120.0,3.0
Adicional 1 TOSTADA,6000.0,5.0
SANDWICH MILANESA,5900.0,1.0
ICE LATTE,5800.0,2.0
MOCACCINO,5800.0,2.0
Pote salsa blanca,4920.0,1.0
SANGUCHES CAFETERIA jyq/lomito/veggie,4900.0,1.0
Menu Kids TAGLIATELLE,4900.0,1.0
"Baguettin vegetariano tomate, rúcula y queso",4680.0,1.0
Gaseosa Sprite 500Cc,4320.0,2.0
Bolognesa,4200.0,13.0
Lata De Coca Cola 310ml,4080.0,2.0
Gaseosa 500 ml,4080.0,2.0
COMBO INGLES 2porc budin PREMIUM + infusion grande,3900.0,1.0
CAFEMEDIANO + 2 MEDIALUNA P/LLE VAR,3600.0,1.0
Adicional PALTA,2900.0,1.0
Adicional DIPS,2400.0,2.0
Queso 100gr con 20% llevando pasta + salsa,2320.0,1.0
Pan hamburguesa x2,2200.0,1.0
Sprite Zero 500 Ml,2040.0,1.0
PORCION BUDIN simple,1900.0,1.0
Pan mignon,1560.0,4.0
Blanca,600.0,7.0
Pesto,400.0,2.0
BARBACOA,0.0,14.0
Al huevo,0.0,2.0
Americano,0.0,3.0
verdura,0.0,8.0
rellenos de chocolate,0.0,30.0
Tuco,0.0,19.0
Café Solo,0.0,3.0
carne,0.0,39.0
Zapallo y ricota,0.0,6.0
Cafe con leche,0.0,6.0
PORCION TARTA DULCE,0.0,1.0
Café con leche,0.0,22.0
Jamón y queso,0.0,54.0
