Nombre,Total ($),Cantidad
ALFAJOR PARA LLEVAR,83200.0,64.0
SANDWICH MOLDE INTEGRAL O ZANAHORIA DE JAMON Y QIESO LOCAL,82500.0,25.0
CHOCOLATADA FRIA,80500.0,35.0
TARTA P/LLEVAR,78700.0,16.0
PAN COMUN X KG,78222.5,28.995
MENU DEL DIA 1,76200.0,8.0
ADICIONAL TOSTADA BRUSQUETA,74400.0,82.0
JUGO NATURAL PARA LLEVAR,72900.0,28.0
CROISSANT JAMON Y QUESO / FRUTILLA / AVELLANA LOCAL,72900.0,27.0
TOSTADAS X3 MERMELADA Y QUESO,72800.0,28.0
GASEOSA/ AGUA SABORIZADA 500cc PARA LLEVAR,72500.0,29.0
ICE LATTE LOCAL,72000.0,24.0
EMPANADA CARNE UNIDAD LOCAL,66100.0,68.0
ENSALADAS LOCAL,65400.0,14.0
FIDEOS PREPARADOS C/ SALSA MIXTA,64000.0,8.0
ALFAJOR SIN TACC,63500.0,17.0
TOSTADA X1 CON MERMELADA Y QUESO,61200.0,51.0
SANDWICH PAN MULTICEREAL VEGETARIANO,58500.0,13.0
MENU DEL DIA 3 (agn),58400.0,4.0
BAGEL CLASICO P/ LLEVAR,57600.0,16.0
"VINO ALBAFLOR (MALBEC, CABERNET)",54000.0,6.0
HUEVO REVUELTO,50400.0,18.0
MOCA/ CARAMEL/ DULCE DE LECHE LATTE,49600.0,16.0
LIMONADA CHICA P/LLEVAR,46200.0,19.0
BAGUETIN (queso o multi) DE JAMON QUESO P LLEVAR,45500.0,13.0
Alfajor local,45000.0,30.0
"GASEOSA/AGUA SABORIZADA 1,5L PARA LLEVAR",44400.0,12.0
AGUA MINERAL  c/s  GAS 500cc PARA LLEVAR,41400.0,18.0
BAGUETIN( queso o multicereal ) VEGGIE LOCAL,39000.0,10.0
ALMUERZO,36500.0,3.0
"CROISSANT RELLENO DE HUEVO, PALTA Y CHERRY LOCAL",35000.0,10.0
GASEOSA 350cc LOCAL,35000.0,14.0
PIZZA ITALIANA VEGGIE 6 porciones,34000.0,3.0
EMPANADA JQ UNIDAD LOCAL,33000.0,34.0
CHOCOLATADA CALIENTE,31200.0,13.0
LICUADO CON LECHE o AGUA P/ LLEVAR,30000.0,10.0
"PAN DULCE CON FRUTAS ( chocolate ,almendras y frutas)",30000.0,3.0
