Nombre,Total ($),Cantidad
CERVEZA ANDES 1L,8600.0,2.0
DANES,8500.0,2.0
2X1 PIZZA MUZZA,8500.0,1.0
PALTA,8500.0,3.0
TORTITA JAMON QUESO CAFETERIA,8400.0,6.0
MEDIALUNA JYQ CAFETERIA,8000.0,5.0
TORTITA JAMON Y QUESO,7560.0,6.0
PAPARDELLE CAJA,7345.0,1.0
AGUA SABORIZADA 0.5L,7000.0,4.0
JARRA FERNET,6900.0,1.0
Ice Latte,6600.0,3.0
LAMPONI CAFETERIA,6400.0,4.0
MEDIALUNA/SACRAM RELLENO CAFE,6268.0,5.0
POLLO TERY XL,6240.0,1.0
ENSALADA FRUTAS,5900.0,1.0
PAPARDELLE PREPARADO,5599.0,1.0
1KG PAN COMUN 10%OFF,5328.0,1.6
PAN DE LECHE,5198.5,1.265
PASTA ACEITUNA VERDE 200GR,5100.0,1.0
MEDIA TARTA + ENSALADA,4900.0,1.0
BAGUETIN Veggie,4900.0,1.0
20%OFF EN QUESO LLEVANDO PASTA+SALSA,4800.0,2.0
MINI TORTA CARTA,4700.0,1.0
BAGEL,4680.0,1.0
MINI TORTA,4500.0,1.0
PAN CASERO.,4500.0,2.0
ADICIONAL MINI JUGO,4200.0,2.0
TE GRANDE,3800.0,2.0
COPA DE VINO,3300.0,1.0
ALFAJOR CAFETERIA,3200.0,2.0
CAPPUCCINO ESPECIAL,3100.0,1.0
SUBMARINO,2900.0,1.0
TRIPLE CRUDO,2400.0,2.0
AGUA SABORIZADA 0.5 CARTA,2100.0,1.0
PORCION BUDIN CARTA,2000.0,1.0
ADICIONAL,1944.0,4.0
DIPS (QUESO O MANTECA Y DULCE),1300.0,1.0
1 TOSTADA,1300.0,1.0
