Nombre,Total ($),Cantidad
FIDEOS15% EN LA SEGUNDA UNIDAD,17020,2.0
RAVIOLES DE ZAPALLO,17000,2.0
TOMATES ENTEROS,16600,2.0
"TOSTADAS, QUESO Y DULCE",16500,5.0
PIZZA MUZZA + CERVEZA 1LTS,15500,1.0
PAN ARABEE x3,15300,6.0
RASPADITA ( Infusión + tortita tostada + dips manteca y dulce/ jamon y queso),15100,3.0
TORTA RICOTA/ DDL Y COCO/ CABSHA,15000,1.0
MINI CAKES CARTA,14100,3.0
TORTITA DE  JYQ CARTA,14000,10.0
SANDWIHS MILANESA CARTA,13200,2.0
QUESO 50gr,12500,5.0
CAFE XL (latte),12000,4.0
"ÑOQUIS PAPA CAJA 0,500 KG",11800,2.0
ENSALADA CARTA,11800,2.0
BAGUETTE JYQ,11700,3.0
PIZZA NAPOLITANA,10500,1.0
PIZZA VEGGI VERDURAS SALTEADAS,10500,1.0
SALSA TUCO,10500,4.0
PESTO,10200,2.0
MENU KIDS,9800,2.0
"BAGEL LOMITO,CHEDAR CARTA",9800,2.0
BAGUETIN JYQ CARTA,9400,2.0
SUBMARINO,9300,3.0
FIDEOS PARPADELLE BOLSA,9200,4.0
ICE LATTE,9100,3.0
CORONA GRANDE,9000,2.0
HUEVOS REVUELTOS,8600,2.0
ADICIONAL BOLOGÑESA,8500,5.0
ADICIONAL PALTA,8500,3.0
MAYONESA ALBHACA/REMOLACHA//ZANAHORIA,8300,1.0
PAN ARABE X3,8100,3.0
TORTITA JYQ.,6480,2.0
ALFAJOR CARTA,6400,4.0
TARTA LOCAL,6000,1.0
"ÑOQUIS CALAB CAJA 0,500 KG",5900,1.0
ADICIONAL 1 TOSTADA,5700,5.0
"ADICIONAL DIPS(QUESO,DULCE)",5200,4.0
ADICIONAL DESCARTABLE,5000,6.0
BAGEL VEGGI CARTA,4900,1.0
CLASICO VEGGIE CARTA,4900,1.0
SANDWICH SALAME Y QUESO CARTA,4900,1.0
BUDIN PREMIUM,4800,2.0
"FIDEOS VERDES BOLSA 0,5KG",4500,1.0
"FIDEOS REMOLACHA BOLSA 0,5KG",4500,2.0
ALFAJOR SIN TAC,4500,1.0
ENSALADA DE FRUTAS TROZADAS,4300,1.0
PAIN AU CHOCOLAT,2970,3.0
MOCCACINO,2900,1.0
ADICIONAL BEBIDA,1700,1.0
ADICIONAL QUESO,1500,1.0
PAN CASERO,350,1.0
CORONA 330cc,0,1.0
PAÑUELITO/MEMBRILLITO,0,4.0
