Nombre,Total ($),Cantidad
TORTITA P/MESA,19200.0,24.0
PAIN AU CHOCOLAT (PAN O CHOCOLA),18514.0,17.0
CERVEZA LATA P/MESA,18100.0,5.0
MILANO,18000.0,2.0
POTE CREMA,18000.0,5.0
ALFAJOR S/GLUTTEN,18000.0,4.0
ITALIANO 2,17500.0,3.0
ONION BURGUER,17500.0,2.0
POSTRE GRANDE MESA,17400.0,3.0
QUESO 50GR,16700.0,7.0
PORCION DE TOSTADAS,16500.0,5.0
POMAROLA,16500.0,3.0
QUESO RALLADO 100GR,16020.0,5.0
ICE LATTE .,15400.0,7.0
CHOCOLATADA .,15100.0,5.0
Groot Burguer,15000.0,2.0
BAGUETIN VEGGIE,14700.0,3.0
MEDIA TARTA + PORCION ENSALADA,14700.0,3.0
TORTA JYQ,14558.0,11.0
BAGEL HUEVO P/MESA,14080.0,3.0
COMBO INGLES,12800.0,3.0
BAGUETIN JAMON Y QUESO,12700.0,3.0
TOSTADO X3 TRIPLES P/MESA,12700.0,3.0
PAN DE PAPAX2,12500.0,5.0
RAVIOLES PREP,12060.0,2.0
PIZZAS AL 30% SMALL,11050.0,1.0
Ñoquis 15 off 2da unidad,10175.0,1.0
ADICIONAL/MINI JUGO,10000.0,5.0
Vegana Small box,10000.0,1.0
RASPADITA,10000.0,2.0
TARTA DEL DÍA,9800.0,2.0
MEAT LOVE SMALL,9600.0,1.0
FLASH RED BURGUER,9500.0,1.0
Batman Burguer,9500.0,1.0
CAFE + TORTITA,9400.0,3.0
FULL CHEESE SMALL BOX,9200.0,1.0
Lomito y Cheddar,8580.0,2.0
DANES,8500.0,2.0
Superman Burguer,8000.0,1.0
LAMPONI P/MESA,8000.0,5.0
MAYO ALBAHACA,7900.0,1.0
TOMATES ENTEROS 1KG,7900.0,1.0
CROSSAINT,7750.0,5.0
carne mechada pequeña,7500.0,1.0
GASEOSA LATA P/MESA,7400.0,6.0
SACRAMENTO P/MESA,7000.0,5.0
POLLO Y PALTA P/MESA,6900.0,1.0
ENSALADA POLLO,6900.0,1.0
muzza small py,6500.0,1.0
MEDIALUNA JYQ P/MESA,6400.0,4.0
SUBMARINO .,6200.0,2.0
ADICIONAL,5540.0,2.0
PAN FLAUTIN,5513.0,1.492
SANDWICH + LATA,5500.0,1.0
MINI TORTA P/MESA,4700.0,1.0
AGUA SABORIZADA 0.5 P/MESA,4300.0,2.0
PAÑUELITOS P/MESA,4200.0,3.0
bagel lomo chedar,4100.0,1.0
TOSTADA X1,3900.0,3.0
TORTITA JYQ/ MESA,3852.0,3.0
CROISSANT MASA MADRE,3840.0,2.0
"PAN COMUN, MINI PAN Y FLAUTIN 10%",3330.0,1.0
cafe xxl,3100.0,1.0
COOKIE CAFE,3100.0,1.0
BOLO PY,3000.0,1.0
CAPPUCHINO,2900.0,1.0
PALTA,2700.0,1.0
adicional palta,2700.0,1.0
tostada 1,2600.0,2.0
BUDIN PORCION,2000.0,1.0
ALFAJOR VENE P/MESA,1600.0,1.0
TRIPLE JAMON CRUDO .,1200.0,1.0
