Nombre,Total ($),Cantidad
CROISSANT RELLENO,29000.0,10.0
CARTA ROLL,28800.0,18.0
CARTA TOSTADO - TRIPLE MIGA X3,28700.0,7.0
TÉ COMUN O SABORIZADO,28200.0,14.0
CARTA MEDIALUNA MANTECA,27500.0,25.0
RASPADITA: infusión grande + tortita raspada tostadas + dips de manteca y dulce,25300.0,5.0
TARTA PAQUETE,24500.0,5.0
FIDEO CALABAZA BOLSA 0.5KG,24440.0,6.0
baguetin jamon crudo,23700.0,5.0
SALSA POMAROLA,23520.0,4.0
JUGO CEPITA 300ML,23400.0,14.0
CARTA SACRAMENTOS RELLENOS,23400.0,18.0
PAN MOLDE 2DO 15%OFF,23310.0,3.0
"FIDEOS VERDES BOLSA 0,5KG",23100.0,5.0
SUSCRIPCION CAFE grande,22500.0,1.0
ALMUERZO EJECUTIVO,21600.0,1.0
ENSALADA DE FRUTA,21500.0,7.0
CARTA LASAGNA TRADICIONAL/VEGETARIANA,21000.0,2.0
CARTA LAMPONI,20800.0,13.0
CARTA CANELONES DE ESPINACA con salsa beshamel,19749.0,1.0
CARTA TORTITA JAMON Y QUESO,19600.0,14.0
CERVEZA LATA,19500.0,5.0
CARTA BAGEL HUEVO REVUELTO JAMONQUESO pan bagel+jamon+queso tybo+huevo revuelto,19400.0,4.0
6x5 TORTITAS,19250.0,7.0
CARTA ENSALADA DEL DÍA,19032.0,2.0
MINI LATA GASEOSA 220CC,18900.0,18.0
JUGO ADES 1L,18200.0,7.0
PROMO TOSTADOS (Infusion grande + 4 triples tostados),18000.0,3.0
ALFAJOR VEGANO SIN TACC,17500.0,5.0
JUGO CEPITA 200ML,17500.0,15.0
JARRA DE LIMONADA X 1lts,16900.0,3.0
TOMATES ENTEROS,16600.0,2.0
DANÉS: infusión grande + roll tibio de chocolate o canela,16600.0,4.0
pizza x2 30% en la 2da unidad,16130.0,1.0
Porción tarta más ensalada,15600.0,4.0
AGUA/SODA 500cc,15400.0,9.0
PROMO GRANOLA(infusion grande + 2 tostados + yogurt con granola ),13200.0,2.0
CARTA CERVEZA LITRO,12600.0,2.0
Tarta grande cabsha,12500.0,1.0
JUGO CEPITA 1 LT,12000.0,4.0
CAFETERIA,12000.0,1.0
CAPUCCINO,12000.0,4.0
VINO SANTA JULIA MALBEC/CHENIN,11900.0,1.0
TU CAFE XL,11600.0,4.0
SORRENTINOS QUESO CAJA,11500.0,1.0
CARTA POLLO TERYpan philly+cheddar+palta+pollo+salsa teriyaki,11440.0,1.0
CARTA MEDIALUNA RELLENA,11200.0,8.0
Ñoquis x2 15%off en la 2da unidad,10900.0,1.0
PAN DULCE MILANES(frutas /chocolate/ Almendras),9900.0,1.0
ADICIONAL DESCARTABLE,9500.0,19.0
6x5 FACTURAS ESPECIALES (incluye un roll o un lamponi),9500.0,4.0
"DOCENA FACTURAS ESP.(1 ROLL,1 LAMPONI)",9500.0,1.0
BAGEL VEGGIE pan bagel+queso tybo+palta+rúcula+tomate+queso crema,9360.0,4.0
CHOCOLATADA,9100.0,3.0
pan de lomo x3,8400.0,3.0
CARTA MEDIALUNA JAMON,8000.0,5.0
PROMO CHICA (Infusión chica+ 1 medialuna/tortita),7500.0,3.0
ADICIONAL SALSA BOLOGÑESA,7200.0,4.0
CARTA PAÑUELITOS,7000.0,12.0
ENSALADA POLLO GRILLADO,6900.0,1.0
CERVEZA LITRO,6300.0,1.0
SUBMARINO,6200.0,2.0
MOCACCINO,6200.0,2.0
CARTA TRIPLE,6000.0,5.0
menu kids,4900.0,1.0
BAGUETIN VEGGIE pan de queso+queso tybo+rúcula+tomate,4500.0,1.0
PAN ARABE,4400.0,4.0
Adicional huevo revuelto,4300.0,1.0
ADICIONAL CAFE TAZA  GRANDE,3200.0,8.0
CAPPUCINO ESPECIAL,3100.0,1.0
ADICIONAL DIP DE QUESO,2400.0,2.0
Adicional fetas de jamón o queso,2200.0,1.0
PORCION DE BUDIN,2000.0,1.0
JUGO CHICO,2000.0,1.0
pan baguetin de queso x2,1100.0,1.0
pain au chocolat,990.0,1.0
ADICIONAL TAZA XL,300.0,1.0
TRIPLE JAMON CRUDO,0.0,1.0
CARTA BAGUETIN JYQ pan de queso+jamon+queso tybo,0.0,1.0
